K04D0012_H0011:1b-0	@1b [dd] *//	[dd]_4 
K04D0012_H0011:194b-34	de skad ces gsol pa dang /	de_0 skad_3 ces_8 gsol_12 ba_17 dang_20 
K04D0012_H0011:195a-0	@195a *// bcom ldan 'das kyis tshe dang ldan pa sh'a ri'i bu la 'di skad ces bka' stsal to //	'joms_10 ldan_15 'da'_20 kyis_25 tshe_30 dang_35 ldan_40 ba_45 sh_48 ri_53 bu_58 la_61 'di_64 skad_68 ces_73 bka'_77 stsal_82 to_88 
K04D0012_H0011:195a-1	sh'a ri'i bu /	sh_0 ri_5 bu_10 
K04D0012_H0011:195a-2	legs so /	legs_0 so_5 
K04D0012_H0011:195a-3	legs so //	legs_0 so_5 
K04D0012_H0011:195a-4	sh'a ri'i bu /	sh_0 ri_5 bu_10 
K04D0012_H0011:195a-5	'di yang sangs rgyas kyi mthus khyod spobs par gyur to //	'di_0 yang_4 sangs_9 rgya_15 kyi_21 mthus_25 khyod_31 spobs_37 ba_43 gyur_47 to_52 
K04D0012_H0011:195a-6	de nas bcom ldan 'das la tshe dang ldan pa rab 'byor gyis 'di skad ces gsol to //	de_0 nas_3 'joms_7 ldan_12 'da'_17 la_22 tshe_25 dang_30 ldan_35 ba_40 rab_43 'byor_47 gyis_53 'di_58 skad_62 ces_67 gsol_71 to_76 
K04D0012_H0011:195a-7	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:195a-8	de bzhin gshegs pa dgra bcom pa yang dag par	de_0 bzhin_3 gshegs_9 ba_16 dgra_19 'joms_24 ba_29 yang_32 'dag_37 ba_41 
K04D0012_H0011:195a-9	rdzogs pa'i sangs rgyas kyis byang chub sems dpa' sems	rdzogs_0 ba_7 sangs_12 rgya_18 kyis_24 byang_29 chub_35 sems_40 dpa'_45 sems_50 
K04D0012_H0011:195a-10	dpa' chen po 'di dag 'di ltar legs par yongs	dpa'_0 chen_5 po_10 'di_13 'dag_17 'di_21 ltar_25 legs_30 ba_35 yongs_39 
K04D0012_H0011:195a-11	su bzung ba dang /	su_0 bzung_3 ba_9 dang_12 
K04D0012_H0011:195a-12	legs par sbyangs pa dang /	legs_0 ba_5 sbyong_9 ba_17 dang_20 
K04D0012_H0011:195a-13	legs par yongs su gtad pa'i bar 'di ni /	legs_0 ba_5 yongs_9 su_15 gtod_18 ba_23 ba_28 'di_32 ni_36 
K04D0012_H0011:195a-14	ngo mtshar to //	ngo_0 mtshar_4 to_11 
K04D0012_H0011:195a-15	bcom ldan 'das kyis /	'joms_0 ldan_5 'da'_10 kyis_15 
K04D0012_H0011:195a-16	bka' stsal pa /	bka'_0 stsal_5 ba_11 
K04D0012_H0011:195a-17	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:195a-18	'di ltar byang chub sems dpa' sems dpa' chen po de dag ni /	'di_0 ltar_4 byang_9 chub_15 sems_20 dpa'_25 sems_30 dpa'_35 chen_40 po_45 de_48 'dag_51 ni_55 
K04D0012_H0011:195a-19	skye bo mang po la phan pa dang /	skye_0 'bo_5 mang_8 po_13 la_16 phan_19 ba_24 dang_27 
K04D0012_H0011:195a-20	skye bo mang po la bde ba dang /	skye_0 'bo_5 mang_8 po_13 la_16 bde_19 ba_23 dang_26 
K04D0012_H0011:195a-21	'jig rten la snying brtse ba dang /	'jig_0 rten_5 la_10 snying_13 brtse_20 ba_26 dang_29 
K04D0012_H0011:195a-22	skye bo phal po che'i don dang /	skye_0 'bo_5 phal_8 po_13 che_16 don_22 dang_26 
K04D0012_H0011:195a-23	phan pa dang bde ba'i phyir zhugs pa ste /	phan_0 ba_5 dang_8 bde_13 ba_17 phyir_22 'jug_28 ba_34 ste_37 
K04D0012_H0011:195a-24	lha dang mi rnams la snying brtse ba can snying	lha_0 dang_4 mi_9 rnams_12 la_18 snying_21 brtse_28 ba_34 can_37 snying_41 
K04D0012_H0011:195a-25	brtse ba'i phyir bla na med pa yang dag par	brtse_0 ba_6 phyir_11 bla_17 na_21 med_24 ba_28 yang_31 'dag_36 ba_40 
K04D0012_H0011:195a-26	rdzogs pa'i byang chub mngon par rdzogs par 'tshang rgya	rdzogs_0 ba_7 byang_12 chub_18 mngon_23 ba_29 rdzogs_33 ba_40 'tshang_44 rgya_52 
K04D0012_H0011:195a-27	bar 'dod pa / bla na med pa yang dag	ba_0 'dod_4 ba_9 bla_14 na_18 med_21 ba_25 yang_28 'dag_33 
K04D0012_H0011:195a-28	par rdzogs pa'i byang chub tu mngon par rdzogs par	ba_0 rdzogs_4 ba_11 byang_16 chub_22 tu_27 mngon_30 ba_36 rdzogs_40 ba_47 
K04D0012_H0011:195a-29	sangs rgyas nas bla na med pa'i chos ston par	sangs_0 rgya_6 nas_12 bla_16 na_20 med_23 ba_27 chos_32 ston_37 ba_42 
K04D0012_H0011:195a-30	bar 'dod pa / 'dod pa'o // rab 'byor gyis gsol pa /	ba_0 'dod_4 ba_9 'dod_14 ba_19 rab_27 'byor_31 gyis_37 gsol_42 ba_47 
K04D0012_H0011:195a-31	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:195a-32	byang chub sems dpa' sems dpa' chen po shes rab	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 shes_39 rab_44 
K04D0012_H0011:195b-0	kyi pha rol tu phyin pa 'di la @195b spyod	kyi_0 pha_4 rol_8 tu_12 phyin_15 ba_21 'di_24 la_28 spyod_37 
K04D0012_H0011:195b-1	pa na ji ltar shes rab kyi pha rol tu	ba_0 na_3 ji_6 ltar_9 shes_14 rab_19 kyi_23 pha_27 rol_31 tu_35 
K04D0012_H0011:195b-2	phyin pa bsgom pa yongs su rdzogs par 'gyur /	phyin_0 ba_6 bsgom_9 ba_15 yongs_18 su_24 rdzogs_27 ba_34 'gyur_38 
K04D0012_H0011:195b-3	bcom ldan 'das kyis bka' stsal pa /	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K04D0012_H0011:195b-4	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:195b-5	gal te byang chub sems dpa' sems dpa' chen po	gal_0 te_4 byang_7 chub_13 sems_18 dpa'_23 sems_28 dpa'_33 chen_38 po_43 
K04D0012_H0011:195b-6	shes rab kyi pha rol tu phyin pa la spyod	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 
K04D0012_H0011:195b-7	pas / gzugs kyi 'phel ba yang dag par rjes su mi mthong na /	ba_0 gzugs_6 kyi_12 'phel_16 ba_22 yang_25 'dag_30 ba_34 rjes_38 su_43 mi_46 mthong_49 na_56 
K04D0012_H0011:195b-8	shes rab kyi pha rol tu phyin pa la spyod do //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 do_42 
K04D0012_H0011:195b-9	de bzhin du tshor ba'i ma yin /	de_0 bzhin_3 du_9 tshor_12 ba_18 ma_23 yin_26 
K04D0012_H0011:195b-10	'du shes kyi ma yin; 'du byed rnams kyi ma yin /	'du_0 shes_4 kyi_9 ma_13 yin;_16 'du_21 byed_25 rnams_30 kyi_36 ma_40 yin_43 
K04D0012_H0011:195b-11	rnam par shes pa'i 'phel ba yang dag par rjes su mi mthong na /	rnam_0 ba_5 shes_9 ba_14 'phel_19 ba_25 yang_28 'dag_33 ba_37 rjes_41 su_46 mi_49 mthong_52 na_59 
K04D0012_H0011:195b-12	shes rab kyi pha rol tu phyin pa la spyod do //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 do_42 
K04D0012_H0011:195b-13	gzugs kyi 'grib pa yang dag par rjes su mi mthong na /	gzugs_0 kyi_6 'grib_10 ba_16 yang_19 'dag_24 ba_28 rjes_32 su_37 mi_40 mthong_43 na_50 
K04D0012_H0011:195b-14	shes rab kyi pha rol tu phyin pa la spyod do //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 do_42 
K04D0012_H0011:195b-15	de bzhin du tshor ba'i ma yin /	de_0 bzhin_3 du_9 tshor_12 ba_18 ma_23 yin_26 
K04D0012_H0011:195b-16	'du shes kyi ma yin /	'du_0 shes_4 kyi_9 ma_13 yin_16 
K04D0012_H0011:195b-17	'du byed rnams kyi ma yin /	'du_0 byed_4 rnams_9 kyi_15 ma_19 yin_22 
K04D0012_H0011:195b-18	rnam par shes pa'i 'grib pa yang dag par rjes su mi mthong na /	rnam_0 ba_5 shes_9 ba_14 'grib_19 ba_25 yang_28 'dag_33 ba_37 rjes_41 su_46 mi_49 mthong_52 na_59 
K04D0012_H0011:195b-19	shes rab kyi pha rol tu phyin pa la spyod do //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 do_42 
K04D0012_H0011:195b-20	chos yang dag par rjes su mi mthong na /	chos_0 yang_5 'dag_10 ba_14 rjes_18 su_23 mi_26 mthong_29 na_36 
K04D0012_H0011:195b-21	shes rab kyi pha rol tu phyin pa la spyod do //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 do_42 
K04D0012_H0011:195b-22	chos ma yin pa yang dag par rjes su mi	chos_0 ma_5 yin_8 ba_12 yang_15 'dag_20 ba_24 rjes_28 su_33 mi_36 
K04D0012_H0011:195b-23	mthong na; shes rab kyi pha rol tu phyin pa	mthong_0 na;_7 shes_11 rab_16 kyi_20 pha_24 rol_28 tu_32 phyin_35 ba_41 
K04D0012_H0011:195b-24	la spyod do // de ltar na /	la_0 spyod_3 do_9 de_15 ltar_18 na_23 
K04D0012_H0011:195b-25	'di'i shes rab kyi pha rol tu phyin pa sgom pa yongs su rdzogs par 'gyur ro //	'di_0 shes_6 rab_11 kyi_15 pha_19 rol_23 tu_27 phyin_30 ba_36 sgom_39 ba_44 yongs_47 su_53 rdzogs_56 ba_63 'gyur_67 ro_73 
K04D0012_H0011:195b-26	rab 'byor gyis gsol pa /	rab_0 'byor_4 gyis_10 gsol_15 ba_20 
K04D0012_H0011:195b-27	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:195b-28	bstan pa 'di ni /	ston_0 ba_6 'di_9 ni_13 
K04D0012_H0011:195b-29	bsam gyis mi khyab bo //	bsam_0 gyis_5 mi_10 khyab_13 'bo_19 
K04D0012_H0011:195b-30	bcom ldan 'das kyis bka' stsal pa /	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K04D0012_H0011:195b-31	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:195b-32	gzugs bsam gyis mi khyab ste /	gzugs_0 bsam_6 gyis_11 mi_16 khyab_19 ste_25 
K04D0012_H0011:195b-33	de bzhin du tshor ba dang /	de_0 bzhin_3 du_9 tshor_12 ba_18 dang_21 
K04D0012_H0011:195b-34	'du shes dang /	'du_0 shes_4 dang_9 
K04D0012_H0011:195b-35	'du byed rnams dang /	'du_0 byed_4 rnams_9 dang_15 
K04D0012_H0011:196a-0	rab @196a *//	rab_0 
K04D0012_H0011:196a-1	'byor; rnam par shes pa bsam gyis mi khyab bo //	'byor;_0 rnam_7 ba_12 shes_16 ba_21 bsam_24 gyis_29 mi_34 khyab_37 'bo_43 
K04D0012_H0011:196a-2	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:196a-3	gzugs bsam gyis mi khyab ces bya bar yang mi shes na /	gzugs_0 bsam_6 gyis_11 mi_16 khyab_19 ces_25 byed_29 ba_33 yang_37 mi_42 shes_45 na_50 
K04D0012_H0011:196a-4	shes rab kyi pha rol tu phyin pa la spyod do //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 do_42 
K04D0012_H0011:196a-5	de bzhin du tshor ba dang /	de_0 bzhin_3 du_9 tshor_12 ba_18 dang_21 
K04D0012_H0011:196a-6	'du shes dang /	'du_0 shes_4 dang_9 
K04D0012_H0011:196a-7	'du byed rnams dang /	'du_0 byed_4 rnams_9 dang_15 
K04D0012_H0011:196a-8	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:196a-9	rnam par shes pa bsam gyis mi khyab ces bya bar yang mi shes na /	rnam_0 ba_5 shes_9 ba_14 bsam_17 gyis_22 mi_27 khyab_30 ces_36 byed_40 ba_44 yang_48 mi_53 shes_56 na_61 
K04D0012_H0011:196a-10	shes rab kyi pha rol tu phyin pa la spyod do //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 do_42 
K04D0012_H0011:196a-11	de nas bcom ldan 'das la tshe dang ldan pa sh'a ri'i bus 'di skad ces gsol to //	de_0 nas_3 'joms_7 ldan_12 'da'_17 la_22 tshe_25 dang_30 ldan_35 ba_40 sh_43 ri_48 'bud_53 'di_57 skad_61 ces_66 gsol_70 to_75 
K04D0012_H0011:196a-12	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:196a-13	shes rab kyi pha rol tu phyin pa de ltar zab pa 'di la su zhig mos par 'gyur /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 de_33 ltar_36 zab_41 ba_45 'di_48 la_52 su_55 'jig_58 mos_63 ba_67 'gyur_71 
K04D0012_H0011:196a-14	bcom ldan sangs [*'das?] kyis bka' stsal pa /	'joms_0 ldan_5 sangs_10 [*'das?]_16 kyis_25 bka'_30 stsal_35 ba_41 
K04D0012_H0011:196a-15	sh'a ri'i bu /	sh_0 ri_5 bu_10 
K04D0012_H0011:196a-16	byang chub sems dpa' sems dpa' chen po gang shes	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 gang_39 shes_44 
K04D0012_H0011:196a-17	rab kyi pha rol tu phyin pa la spyad par	rab_0 kyi_4 pha_8 rol_12 tu_16 phyin_19 ba_25 la_28 spyod_31 ba_37 
K04D0012_H0011:196a-18	gyur pa de shes rab kyi pha rol tu phyin	gyur_0 ba_5 de_8 shes_11 rab_16 kyi_20 pha_24 rol_28 tu_32 phyin_35 
K04D0012_H0011:196a-19	pa 'di la mos par 'gyur ro //	ba_0 'di_3 la_7 mos_10 ba_14 'gyur_18 ro_24 
K04D0012_H0011:196a-20	tshe dang ldan pa sh'a ri'i bus gsol pa /	tshe_0 dang_5 ldan_10 ba_15 sh_18 ri_23 'bud_28 gsol_32 ba_37 
K04D0012_H0011:196a-21	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:196a-22	ji ltar na /	ji_0 ltar_3 na_8 
K04D0012_H0011:196a-23	byang chub sems dpa' sems dpa' chen po spyad par gyur pa lags /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 spyod_39 ba_45 gyur_49 ba_54 lags_57 
K04D0012_H0011:196a-24	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:196a-25	ji ltar na /	ji_0 ltar_3 na_8 
K04D0012_H0011:196a-26	spyad par gyur pa zhes bgyi ba'i ming 'thob par 'gyur /	spyod_0 ba_6 gyur_10 ba_15 zhes_18 bgyid_23 ba_28 ming_33 'thob_38 ba_44 'gyur_48 
K04D0012_H0011:196a-27	bcom ldan 'das kyis bka' stsal pa /	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K04D0012_H0011:196a-28	sh'a ri'i bu /	sh_0 ri_5 bu_10 
K04D0012_H0011:196a-29	'di la byang chub sems dpa' sems dpa' chen po stobs rnams la mi rtog /	'di_0 la_4 byang_7 chub_13 sems_18 dpa'_23 sems_28 dpa'_33 chen_38 po_43 stobs_46 rnams_52 la_58 mi_61 rtogs_64 
K04D0012_H0011:196a-30	mi 'jigs pa rnams la mi rtog /	mi_0 'jigs_3 ba_9 rnams_12 la_18 mi_21 rtogs_24 
K04D0012_H0011:196a-31	sangs rgyas kyi chos rnams la'ang mi rtog /	sangs_0 rgya_6 kyi_12 chos_16 rnams_21 la_27 mi_34 rtogs_37 
K04D0012_H0011:196a-32	thams cad mkhyen pa nyid la'ang mi rtog go /	thams_0 cad_6 mkhyen_10 ba_17 nyid_20 la_25 mi_32 rtogs_35 go_40 
K04D0012_H0011:196a-33	de ci'i phyir zhe na /	de_0 ci_3 phyir_8 zhe_14 na_18 
K04D0012_H0011:196a-34	sh'a ri'i bu /	sh_0 ri_5 bu_10 
K04D0012_H0011:196a-35	stobs rnams bsam gyis mi khyab /	stobs_0 rnams_6 bsam_12 gyis_17 mi_22 khyab_25 
K04D0012_H0011:196b-0	mi 'jigs pa @196b rnams kyang bsam gyis mi khyab /	mi_0 'jigs_3 ba_9 rnams_18 kyang_24 bsam_30 gyis_35 mi_40 khyab_43 
K04D0012_H0011:196b-1	sangs rgyas kyi chos rnams kyang bsam gyis mi khyab /	sangs_0 rgya_6 kyi_12 chos_16 rnams_21 kyang_27 bsam_33 gyis_38 mi_43 khyab_46 
K04D0012_H0011:196b-2	thams cad mkhyen pa nyid kyang bsam gyis mi khyab /	thams_0 cad_6 mkhyen_10 ba_17 nyid_20 kyang_25 bsam_31 gyis_36 mi_41 khyab_44 
K04D0012_H0011:196b-3	chos thams cad kyang bsam gyis mi khyab ste /	chos_0 thams_5 cad_11 kyang_15 bsam_21 gyis_26 mi_31 khyab_34 ste_40 
K04D0012_H0011:196b-4	sh'a ri'i bu /	sh_0 ri_5 bu_10 
K04D0012_H0011:196b-5	de ltar spyad par gyur pa'i byang chub sems dpa' sems dpa' chen po gang la'ang mi spyod na /	de_0 ltar_3 spyod_8 ba_14 gyur_18 ba_23 byang_28 chub_34 sems_39 dpa'_44 sems_49 dpa'_54 chen_59 po_64 gang_67 la_72 mi_79 spyod_82 na_88 
K04D0012_H0011:196b-6	shes rab kyi pha rol tu phyin pa la spyod de /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 la_33 spyod_36 de_42 
K04D0012_H0011:196b-7	de ltar spyad par gyur pa zhes bya zhing spyad par gyur pa zhes bya ba'i ming 'thob bo //	de_0 ltar_3 spyod_8 ba_14 gyur_18 ba_23 zhes_26 byed_31 zhing_35 spyod_41 ba_47 gyur_51 ba_56 zhes_59 byed_64 ba_68 ming_73 'thob_78 'bo_84 
K04D0012_H0011:196b-8	de nas bcom ldan 'das la tshe dang ldan pa rab 'byor gyis 'di skad ces gsol to //	de_0 nas_3 'joms_7 ldan_12 'da'_17 la_22 tshe_25 dang_30 ldan_35 ba_40 rab_43 'byor_47 gyis_53 'di_58 skad_62 ces_67 gsol_71 to_76 
K04D0012_H0011:196b-9	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:196b-10	shes rab kyi pha rol tu phyin pa zab bo //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 zab_33 'bo_37 
K04D0012_H0011:196b-11	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:196b-12	shes rab kyi pha rol tu phyin pa ni /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 ni_33 
K04D0012_H0011:196b-13	rin po che'i phung po'o //	rin_0 po_4 che_7 'phung_13 po_19 
K04D0012_H0011:196b-14	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:196b-15	nam mkha' dag pa'i slad du shes rab kyi pha rol tu phyin pa ni /	nam_0 mkha'_4 'dag_10 ba_14 slad_19 du_24 shes_27 rab_32 kyi_36 pha_40 rol_44 tu_48 phyin_51 ba_57 ni_60 
K04D0012_H0011:196b-16	dag pa'i phung po'o //	'dag_0 ba_4 'phung_9 po_15 
K04D0012_H0011:196b-17	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:196b-18	rigs kyi bu dang /	rigs_0 kyi_5 bu_9 dang_12 
K04D0012_H0011:196b-19	rigs kyi bu mo gang dag shes rab kyi pha rol tu phyin pa 'di 'dzin pa dang /	rigs_0 kyi_5 bu_9 mo_12 gang_15 'dag_20 shes_24 rab_29 kyi_33 pha_37 rol_41 tu_45 phyin_48 ba_54 'di_57 'dzin_61 ba_67 dang_70 
K04D0012_H0011:196b-20	'chang ba dang /	'chang_0 ba_7 dang_10 
K04D0012_H0011:196b-21	klog pa dang /	klog_0 ba_5 dang_8 
K04D0012_H0011:196b-22	kun chub par bgyid pa dang /	kun_0 chub_4 ba_9 bgyid_13 ba_19 dang_22 
K04D0012_H0011:196b-23	rab tu 'don pa dang /	rab_0 tu_4 'don_7 ba_12 dang_15 
K04D0012_H0011:196b-24	ston pa dang /	ston_0 ba_5 dang_8 
K04D0012_H0011:196b-25	nye bar ston pa dang /	nye_0 ba_4 ston_8 ba_13 dang_16 
K04D0012_H0011:196b-26	lung 'bogs pa dang /	lung_0 'bogs_5 ba_11 dang_14 
K04D0012_H0011:196b-27	kha ton bgyid pa dang /	kha_0 ton_4 bgyid_8 ba_14 dang_17 
K04D0012_H0011:196b-28	yi ger 'dri ba la bar chad bgyid pa mang po 'byung ba 'di ni /	yi_0 ger_3 'bri_7 ba_12 la_15 ba_18 'chad_22 bgyid_27 ba_33 mang_36 po_41 'byung_44 ba_51 'di_54 ni_58 
K04D0012_H0011:196b-29	ngo mtshar to //	ngo_0 mtshar_4 to_11 
K04D0012_H0011:196b-30	de skad ces gsol pa dang /	de_0 skad_3 ces_8 gsol_12 ba_17 dang_20 
K04D0012_H0011:196b-31	bcom ldan 'das kyis tshe dang ldan pa rab 'byor la 'di skad ces bka' stsal to //	'joms_0 ldan_5 'da'_10 kyis_15 tshe_20 dang_25 ldan_30 ba_35 rab_38 'byor_42 la_48 'di_51 skad_55 ces_60 bka'_64 stsal_69 to_75 
K04D0012_H0011:196b-32	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:196b-33	de de bzhin no //	de_0 de_3 bzhin_6 no_12 
K04D0012_H0011:196b-34	de de bzhin te /	de_0 de_3 bzhin_6 te_12 
K04D0012_H0011:196b-35	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:196b-36	rigs kyi bu'am rigs kyi bu mo gang dag shes	rigs_0 kyi_5 bu_9 rigs_15 kyi_20 bu_24 mo_27 gang_30 'dag_35 shes_39 
K04D0012_H0011:196b-37	rab kyi pha rol tu phyin pa 'di 'dzin pa	rab_0 kyi_4 pha_8 rol_12 tu_16 phyin_19 ba_25 'di_28 'dzin_32 ba_38 
K04D0012_H0011:196b-38	dang / 'chang ba dang /	dang_0 'chang_7 ba_14 dang_17 
K04D0012_H0011:197a-0	klog @197a *//	klog_0 
K04D0012_H0011:197a-1	pa dang /	ba_0 dang_3 
K04D0012_H0011:197a-2	kun chub par byed pa dang /	kun_0 chub_4 ba_9 byed_13 ba_18 dang_21 
K04D0012_H0011:197a-3	rab tu 'don pa dang /	rab_0 tu_4 'don_7 ba_12 dang_15 
K04D0012_H0011:197a-4	ston pa dang /	ston_0 ba_5 dang_8 
K04D0012_H0011:197a-5	nye bar ston pa dang /	nye_0 ba_4 ston_8 ba_13 dang_16 
K04D0012_H0011:197a-6	lung 'bogs pa dang /	lung_0 'bogs_5 ba_11 dang_14 
K04D0012_H0011:197a-7	kha ton byed pa dang /	kha_0 ton_4 byed_8 ba_13 dang_16 
K04D0012_H0011:197a-8	yi ger 'dri ba la bar chad byed pa mang du 'byung ngo //	yi_0 ger_3 'bri_7 ba_12 la_15 ba_18 'chad_22 byed_27 ba_32 mang_35 du_40 'byung_43 ngo_50 
K04D0012_H0011:197a-9	de ci'i phyir zhe na /	de_0 ci_3 phyir_8 zhe_14 na_18 
K04D0012_H0011:197a-10	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:197a-11	de ni /	de_0 ni_3 
K04D0012_H0011:197a-12	'di ltar rigs kyi bu dang /	'di_0 ltar_4 rigs_9 kyi_14 bu_18 dang_21 
K04D0012_H0011:197a-13	rigs kyi bu mo dag shes rab kyi pha rol tu phyin pa 'di 'dzin pa dang /	rigs_0 kyi_5 bu_9 mo_12 'dag_15 shes_19 rab_24 kyi_28 pha_32 rol_36 tu_40 phyin_43 ba_49 'di_52 'dzin_56 ba_62 dang_65 
K04D0012_H0011:197a-14	'chang ba dang /	'chang_0 ba_7 dang_10 
K04D0012_H0011:197a-15	klog pa dang /	klog_0 ba_5 dang_8 
K04D0012_H0011:197a-16	kun chub par byed pa dang /	kun_0 chub_4 ba_9 byed_13 ba_18 dang_21 
K04D0012_H0011:197a-17	rab tu 'don pa dang /	rab_0 tu_4 'don_7 ba_12 dang_15 
K04D0012_H0011:197a-18	ston pa dang /	ston_0 ba_5 dang_8 
K04D0012_H0011:197a-19	nye bar ston pa dang /	nye_0 ba_4 ston_8 ba_13 dang_16 
K04D0012_H0011:197a-20	lung 'bogs pa dang /	lung_0 'bogs_5 ba_11 dang_14 
K04D0012_H0011:197a-21	kha ton byed pa dang /	kha_0 ton_4 byed_8 ba_13 dang_16 
K04D0012_H0011:197a-22	yi ger 'bri ba dag la bdud sdig can dag	yi_0 ger_3 'bri_7 ba_12 'dag_15 la_19 bdud_22 sdig_27 can_32 'dag_36 
K04D0012_H0011:197a-23	bar chad bya bar brtson par byed do; ;der myur	ba_0 'chad_4 byed_9 ba_13 brtson_17 ba_24 byed_28 do;_33 ;der_37 myur_42 
K04D0012_H0011:197a-24	du bri ste gal te zla ba'am /	du_0 'bri_3 ste_7 gal_11 te_15 zla_18 ba_22 
K04D0012_H0011:197a-25	zla ba gnyis sam /	zla_0 ba_4 gnyis_7 sam_13 
K04D0012_H0011:197a-26	zla ba gsum gyis 'bri na'ang bri bar bya ba yin no //	zla_0 ba_4 gsum_7 gyis_12 'bri_17 na_22 'bri_29 ba_33 byed_37 ba_41 yin_44 no_48 
K04D0012_H0011:197a-27	gal te lo gcig gis sam /	gal_0 te_4 lo_7 gcig_10 gis_15 sam_19 
K04D0012_H0011:197a-28	de phan chad 'bri bar 'gyur na /	de_0 phan_3 'chad_8 'bri_13 ba_18 'gyur_22 na_28 
K04D0012_H0011:197a-29	de lta na'ang rab 'byor /	de_0 lta_3 na_7 rab_14 'byor_18 
K04D0012_H0011:197a-30	rigs kyi bu'am rigs kyi bu mo de dag gis	rigs_0 kyi_5 bu_9 rigs_15 kyi_20 bu_24 mo_27 de_30 'dag_33 gis_37 
K04D0012_H0011:197a-31	shes rab kyi pha rol tu phyin pa 'di bri	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 'di_33 'bri_37 
K04D0012_H0011:197a-32	bar bya'o // de ci'i phyir zhe na /	ba_0 byed_4 de_13 ci_16 phyir_21 zhe_27 na_31 
K04D0012_H0011:197a-33	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:197a-34	de ni /	de_0 ni_3 
K04D0012_H0011:197a-35	'di ltar yin te /	'di_0 ltar_4 yin_9 te_13 
K04D0012_H0011:197a-36	rin po che chen po gang yin pa de la ni /	rin_0 po_4 che_7 chen_11 po_16 gang_19 yin_24 ba_28 de_31 la_34 ni_37 
K04D0012_H0011:197a-37	bar chad byed pa mang du 'byung ngo //	ba_0 'chad_4 byed_9 ba_14 mang_17 du_22 'byung_25 ngo_32 
K04D0012_H0011:197a-38	de skad ces bka' stsal pa dang /	de_0 skad_3 ces_8 bka'_12 stsal_17 ba_23 dang_26 
K04D0012_H0011:197a-39	bcom ldan 'das la tshe dang ldan pa rab 'byor gyis 'di skad ces gsol to //	'joms_0 ldan_5 'da'_10 la_15 tshe_18 dang_23 ldan_28 ba_33 rab_36 'byor_40 gyis_46 'di_51 skad_55 ces_60 gsol_64 to_69 
